代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
601211,国泰海通,19.85,1.01,-3.01,有,形态已成
605268,王力安防,11.27,1.01,3.09,有,形态已成
600523,贵航股份,16.07,1.01,1.76,无,形态已成
002292,奥飞娱乐,9.38,1.01,0.73,有,形态已成
002344,海宁皮城,5.09,1.01,2.79,有,形态已成
605183,确成股份,19.85,1.01,0.83,无,形态已成
603700,宁水集团,14.33,1.0,4.6,有,形态已成
002097,山河智能,12.7,1.0,1.6,无,形态已成
603136,天目湖,12.2,1.0,2.61,有,形态已成
002401,中远海科,17.0,1.0,3.26,有,潜伏中
603577,汇金通,11.28,1.0,4.74,无,形态已成
600861,北京人力,18.99,1.0,2.85,无,潜伏中
000829,天音控股,10.96,0.99,0.83,有,潜伏中
603819,神力股份,12.92,0.99,4.4,无,潜伏中
600320,振华重工,5.37,0.99,4.11,无,潜伏中
600258,首旅酒店,17.5,0.99,3.55,有,潜伏中
600055,万东医疗,16.69,0.98,1.88,有,潜伏中
001318,阳光乳业,16.02,0.98,1.46,有,潜伏中
601108,财通证券,9.07,0.98,3.02,无,潜伏中
002788,鹭燕医药,17.61,0.98,-17.16,无,潜伏中
603112,华翔股份,19.08,0.98,4.61,有,潜伏中
600100,同方股份,9.47,0.98,2.82,有,潜伏中
002863,今飞凯达,6.21,0.98,4.16,有,潜伏中
601600,中国铝业,13.23,0.97,2.4,无,潜伏中
600039,四川路桥,9.98,0.97,-1.09,有,潜伏中
002300,太阳电缆,9.79,0.97,1.24,有,潜伏中
002293,罗莱生活,9.99,0.96,1.44,无,潜伏中
603279,景津装备,17.34,0.96,3.31,无,潜伏中
000519,中兵红箭,19.45,0.96,3.78,有,潜伏中
002701,奥瑞金,5.96,0.96,-0.33,无,潜伏中
000811,冰轮环境,16.81,0.96,-2.02,有,潜伏中
600757,长江传媒,9.15,0.95,2.01,有,潜伏中
002085,万丰奥威,16.81,0.95,2.26,有,潜伏中
600797,浙大网新,10.95,0.95,4.68,有,潜伏中
600186,莲花控股,6.35,0.95,3.66,有,潜伏中
601002,晋亿实业,5.44,0.95,3.9,有,潜伏中
002164,宁波东力,14.47,0.95,-4.56,有,潜伏中
002023,海特高新,14.72,0.95,4.28,有,潜伏中
000737,北方铜业,16.03,0.94,1.84,无,潜伏中
000039,中集集团,9.92,0.94,1.47,有,潜伏中
000985,大庆华科,19.98,0.94,1.82,有,潜伏中
600359,新农开发,7.57,0.94,2.85,有,潜伏中
603797,联泰环保,5.08,0.94,4.57,有,潜伏中
603110,东方材料,17.16,0.93,3.06,有,潜伏中
000715,中兴商业,6.65,0.93,3.65,有,潜伏中
603738,泰晶科技,16.85,0.93,3.26,有,潜伏中
002649,博彦科技,14.44,0.93,3.69,有,潜伏中
000503,国新健康,10.26,0.93,4.65,有,潜伏中
002520,日发精机,6.46,0.93,2.44,有,潜伏中
002949,华阳国际,16.23,0.92,2.02,无,潜伏中
002187,广百股份,8.66,0.92,4.82,无,潜伏中
600088,中视传媒,17.37,0.92,3.37,有,潜伏中
603995,甬金股份,19.67,0.91,4.48,有,潜伏中
002836,新宏泽,16.2,0.91,0.56,有,潜伏中
002361,神剑股份,12.46,0.91,-11.32,无,潜伏中
601921,浙版传媒,8.28,0.91,2.76,无,潜伏中
002297,博云新材,12.79,0.91,4.19,无,潜伏中
002078,太阳纸业,16.16,0.91,3.01,无,潜伏中
002884,凌霄泵业,17.84,0.9,1.01,有,潜伏中
000630,铜陵有色,6.24,0.9,3.28,无,潜伏中
603035,常熟汽饰,16.42,0.9,3.65,无,潜伏中
002774,快意电梯,11.78,0.9,3.86,有,潜伏中
000888,峨眉山Ａ,13.6,0.9,2.41,有,潜伏中
000978,桂林旅游,7.28,0.9,1.56,无,潜伏中
600713,南京医药,5.67,0.89,2.49,有,潜伏中
603390,通达电气,13.77,0.89,3.16,有,潜伏中
603055,台华新材,9.41,0.89,0.86,无,潜伏中
603511,爱慕股份,16.54,0.89,2.75,有,潜伏中
601319,中国人保,8.95,0.89,-3.29,有,潜伏中
603333,尚纬股份,8.57,0.89,1.09,无,潜伏中
600858,银座股份,7.17,0.88,2.6,无,潜伏中
600201,生物股份,17.35,0.88,4.81,有,潜伏中
002439,启明星辰,15.14,0.88,3.02,有,潜伏中
000411,英特集团,13.48,0.88,2.43,无,潜伏中
002561,徐家汇,9.26,0.88,1.07,有,潜伏中
002162,悦心健康,5.16,0.87,3.24,有,潜伏中
000837,秦川机床,13.52,0.87,3.13,无,潜伏中
605136,丽人丽妆,12.22,0.87,4.73,有,潜伏中
600733,北汽蓝谷,8.45,0.87,1.59,有,潜伏中
000719,中原传媒,12.55,0.86,3.28,无,潜伏中
002194,武汉凡谷,13.85,0.86,1.96,有,潜伏中
002438,江苏神通,16.63,0.86,3.45,有,潜伏中
600859,王府井,15.9,0.86,2.49,无,潜伏中
603668,天马科技,16.13,0.85,-2.24,有,潜伏中
600571,信雅达,16.92,0.85,3.59,无,潜伏中
002611,东方精工,19.8,0.85,2.01,无,潜伏中
603269,海鸥股份,13.65,0.85,1.7,无,潜伏中
002763,汇洁股份,8.05,0.85,2.31,无,潜伏中
002772,众兴菌业,15.65,0.85,2.29,有,潜伏中
603912,佳力图,8.75,0.85,0.83,有,潜伏中
